 l_suppkey |          s_name           | l_orderkey | o_orderdate | l_commitdate 
       393 | Supplier#000000393        |    2846406 | 1994-06-02  | 1994-07-02
      9216 | Supplier#000009216        |    2699047 | 1995-01-20  | 1995-03-22
      8466 | Supplier#000008466        |    2699233 | 1993-04-07  | 1993-07-06
      7036 | Supplier#000007036        |    2715943 | 1994-10-29  | 1994-12-15
      5380 | Supplier#000005380        |    2716295 | 1993-03-05  | 1993-05-02
      4041 | Supplier#000004041        |    2724133 | 1995-01-09  | 1995-03-30
       447 | Supplier#000000447        |    2724519 | 1993-10-19  | 1993-12-08
      4706 | Supplier#000004706        |    2725217 | 1992-04-15  | 1992-05-18
      2233 | Supplier#000002233        |    2725923 | 1992-08-18  | 1992-09-22
      3433 | Supplier#000003433        |    2733794 | 1995-01-27  | 1995-03-30
      4419 | Supplier#000004419        |    2734115 | 1992-12-12  | 1993-01-30
      5922 | Supplier#000005922        |    2735520 | 1994-08-20  | 1994-10-23
(100 rows)

